5 1 3 -3.23 1.659
5 1 4 3.44 1.109
5 1 5 16.19 1.183
5 2 1 30.25 0.944
5 2 2 7.46 0.915
5 2 3 -2.09 1.686
5 2 4 0.38 1.123
5 2 5 30.54 1.189
5 3 1 27.59 0.942
5 3 2 7.68 0.917
5 3 3 0.75 1.704
5 3 4 5.67 1.147
5 3 5 12.25 1.195
5 4 1 31.21 0.957
5 4 2 5.60 0.917
5 4 3 -5.28 1.844
5 4 4 4.94 1.196
5 4 5 14.37 1.193
5 5 1 28.27 0.960
5 5 2 5.71 0.922
5 5 3 20.69 2.143
5 5 4 7.70 1.247
5 5 5 6.19 1.191
5 6 1 20.41 0.958
5 6 2 5.50 0.921
5 6 3 27.21 2.161
5 6 4 7.97 1.256
5 6 5 16.28 1.210
5 7 1 29.72 0.971
5 7 2 -0.62 0.926
5 7 3 34.25 2.175
5 7 4 7.89 1.258
5 7 5 33.53 1.188
6 1 1 14.73 0.861
6 1 2 7.81 0.908
6 1 3 -1.42 1.817
6 1 4 -0.21 1.088
6 1 5 48.23 1.124
6 2 1 16.31 0.868
6 2 2 2.41 0.920
6 2 3 -4.01 1.850
6 2 4 -0.17 1.098
6 2 5 47.79 1.131
6 3 1 14.73 0.871
6 3 2 -0.14 0.925
6 3 3 -0.54 1.945
6 3 4 4.15 1.144
6 3 5 46.32 1.137
6 4 1 9.13 0.875
6 4 2 2.82 0.937
6 4 3 43.94 2.165
6 4 4 5.51 1.209
6 4 5 47.58 1.139
6 5 1 12.23 0.877
6 5 2 5.14 0.951
6 5 3 44.80 2.177
6 5 4 5.52 1.235
6 5 5 38.32 1.140
6 6 1 15.14 0.873
6 6 2 3.63 0.961
6 6 3 43.95 2.181
6 6 4 6.11 1.261
6 6 5 40.93 1.151
6 7 1 22.25 0.879
6 7 2 2.66 0.964
6 7 3 44.44 2.179
6 7 4 7.43 1.263
6 7 5 43.88 1.147
